cluster	predicted_type	support_count	weighted_confidence
0	epidermis_2	4	0.14565826330532214
0	neuron_12	3	0.12605042016806722
0	germline_sperm	3	0.0980392156862745
1	gastrodermis	4	0.1049757281553398
1	unknown	4	0.0904126213592233
1	gastrodermis_musclelike	3	0.0770631067961165
2	alga_hosting_cells	4	0.12640635340833883
2	germline_sperm	3	0.10059563203176705
2	gland_2	3	0.08537392455327597
3	germline_sperm	4	0.11482889733840304
3	calicoblast	3	0.08517110266159696
3	neuron_12	3	0.08517110266159696
6	immune_1	3	0.09068727124847498
6	germline_sperm	3	0.08458723058153722
6	neuron_12	3	0.0703538023586824
7	cnidocyte	2	0.11449371277299802
7	germline_sperm	2	0.07213765718067505
7	neuron_12	3	0.06816677696889478
